Date,Open,High,Low,Close,Adj Close,Volume
2018-01-22,7338.040039,7408.029785,7332.810059,7408.029785,7408.029785,2106070000
2018-01-23,7424.950195,7465.390137,7423.180176,7460.290039,7460.290039,2119840000
2018-01-24,7474.160156,7486.319824,7376.750000,7415.060059,7415.060059,2277010000
2018-01-25,7457.950195,7458.529785,7388.580078,7411.160156,7411.160156,2061450000
2018-01-26,7448.330078,7505.770020,7431.220215,7505.770020,7505.770020,2059010000
2018-01-29,7484.470215,7500.609863,7455.549805,7466.509766,7466.509766,2103380000
2018-01-30,7388.890137,7433.649902,7373.990234,7402.479980,7402.479980,2163980000
2018-01-31,7443.250000,7453.990234,7381.120117,7411.479980,7411.479980,2407540000
2018-02-01,7377.169922,7441.089844,7362.279785,7385.859863,7385.859863,2291680000
2018-02-02,7347.589844,7364.430176,7238.180176,7240.950195,7240.950195,2587770000
2018-02-05,7165.959961,7277.359863,6967.529785,6967.529785,6967.529785,3106870000
2018-02-06,6837.560059,7126.549805,6824.819824,7115.879883,7115.879883,3131030000
2018-02-07,7086.200195,7170.339844,7051.529785,7051.979980,7051.979980,2366970000
2018-02-08,7067.299805,7073.990234,6776.770020,6777.160156,6777.160156,2707700000
2018-02-09,6863.339844,6917.009766,6630.669922,6874.490234,6874.490234,3155990000
2018-02-12,6936.680176,7023.620117,6879.689941,6981.959961,6981.959961,2240420000
2018-02-13,6942.160156,7025.680176,6938.160156,7013.509766,7013.509766,1816670000
2018-02-14,6979.240234,7152.049805,6977.069824,7143.620117,7143.620117,2211460000
2018-02-15,7200.750000,7256.930176,7130.390137,7256.430176,7256.430176,2110700000
2018-02-16,7236.509766,7303.259766,7226.379883,7239.470215,7239.470215,2019830000
2018-02-20,7209.029785,7295.950195,7206.000000,7234.310059,7234.310059,1911170000
